nationality_id,nationality
nat1,Ghana
nat2,USA
nat3,England
nat4,Costa Rica
nat5,Mexico
nat6,Italy
nat7,Argentina
nat8,Paraguay
nat9,Uruguay
nat10,Sweden
nat11,Switzerland
nat12,Colombia
nat13,Spain
nat14,Canada
nat15,Sierra Leone
nat16,Ecuador
nat17,Brazil
nat18,Congo DR
nat19,Scotland
nat20,Cuba
nat21,New Zealand
nat22,Japan
nat23,Belgium
nat24,Panama
nat25,Honduras
nat26,Finland
nat27,France
nat28,KenyaBrazil
nat29,Trinidad and Tobago
nat30,Iran
nat31,Chile
nat32,Peru
nat33,Ukraine
nat34,Iraq
nat35,Puerto Rico
nat36,Czechia
nat37,Poland
nat38,Jamaica
nat39,Australia
nat40,Senegal
nat41,Portugal
nat42,Republic of Ireland
nat43,Slovakia
nat44,Ivory Coast
nat45,Venezuela
nat46,Germany
nat47,Denmark
nat48,El Salvador
nat49,Equatorial Guinea
nat50,Croatia
nat51,Libya
nat52,Austria
nat53,Guatemala
nat54,Serbia
nat55,Haiti
nat56,Norway
nat57,Gabon
nat58,Georgia
nat59,Cape Verde Islands
nat60,Mali
nat61,Zimbabwe
nat62,Hungary
nat63,Netherlands
nat64,Slovenia
nat65,Greece
nat66,Romania
nat67,Cameroon
nat68,Albania
nat69,Morocco
nat70,Uganda
nat71,Nigeria
nat72,Bulgaria
nat73,
nat74,South Africa
nat75,Iceland
nat76,Israel
nat77,South Sudan
nat78,Burkina Faso
nat79,Cyprus
nat80,Dominican Republic
nat81,Algeria
nat82,Zambia
nat83,Egypt
nat84,China PR
nat85,Northern Ireland
nat86,Wales
nat87,Bosnia and Herzegovina
nat88,Malta
